Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI
2019-02-06,7260.0,7260.0,7115.0,7260.0,4646.29541015625,29884,1,210.72051873670534,67.3525267228714,143.36799201383394,70.41324986908187
2019-02-07,7485.0,7490.0,7220.0,7485.0,4790.29150390625,38342,1,238.62348592344824,76.20439512769144,162.4190907957568,74.7162637163405
2019-02-08,7571.0,7629.0,7500.0,7571.0,4845.33056640625,5457,1,264.62582789683984,81.7653896808664,182.86043821597343,76.14439003174353
2019-02-11,7425.0,7649.0,7400.2001953125,7425.0,4751.8935546875,16776,-1,270.33563054953356,69.9801538668481,200.35547668268546,69.01714860032786
2019-02-12,7255.10009765625,7415.0,7211.0,7255.10009765625,4643.16015625,28898,-1,258.1751061668201,46.25570358730769,211.91940257951242,61.771210384578524
2019-02-13,7320.0,7340.0,7150.10009765625,7326.7998046875,4689.0458984375,3600,1,251.42509809548574,31.604556412778635,219.8205416827071,63.51219252821121
2019-02-14,7350.0,7420.0,7280.0,7350.0,4703.89453125,41473,1,245.1221147813858,20.24125847894294,224.88085630244285,64.08218952418478
2019-02-15,7131.2001953125,7400.0,7131.2001953125,7131.2001953125,4563.86572265625,75144,-1,219.93635010402704,-3.9556049587326356,223.89195506275968,55.307202840732664
2019-02-18,7180.10009765625,7240.0,7165.10009765625,7180.10009765625,4595.16015625,6962,1,201.5983631494264,-17.834873530666613,219.43323668009302,56.73317134397891
2019-02-19,7250.2001953125,7290.0,7200.0,7250.2001953125,4640.02392578125,25095,1,190.52560779119904,-23.126103111115185,213.65171090231422,58.764316264770194
2019-02-20,7250.0,7349.89990234375,7249.0,7250.0,4639.8955078125,48418,-1,179.66317011761748,-27.190832627757402,206.85400274537488,58.7558331215177
2019-02-21,7205.0,7299.0,7200.0,7205.0,4611.09619140625,8507,-1,165.5155261270029,-33.07078129469761,198.5863074217005,56.771931747658954
2019-02-22,7240.0,7275.0,7210.0,7240.0,4633.49560546875,10115,1,155.33699563718164,-34.59944942761507,189.93644506479671,57.96087991219047
2019-02-25,7290.0,7300.0,7220.0,7290.0,4665.49462890625,9995,1,149.58074530313843,-32.28455980932665,181.86530511246508,59.667507634127006
2019-02-26,7265.0,7290.0,7200.0,7265.0,4649.49462890625,3911,-1,141.3719366903906,-32.39469473765959,173.7666314280502,58.39110825444593
2019-02-27,7255.10009765625,7300.0,7200.0,7275.89990234375,4656.470703125,3227,1,134.19896560878897,-31.654132655409,165.85309826419797,58.8048808579465
2019-02-28,7229.89990234375,7300.0,7150.0,7229.89990234375,4627.0322265625,21577,-1,123.38026785985585,-33.978264323473724,157.35853218332957,56.26208601505794
2019-03-01,7237.89990234375,7300.0,7201.0,7222.2001953125,4622.10400390625,1975,-1,112.88381558273068,-35.57977328047912,148.4635888632098,55.82693223193574
2019-03-04,7099.89990234375,7290.0,7060.10009765625,7099.89990234375,4543.83349609375,40141,-1,93.61752543553575,-43.876850742139226,137.49437617767498,49.30394427208266
2019-03-05,7270.0,7280.0,7110.0,7270.0,4652.6953125,25700,1,91.02522584053258,-37.17532026971392,128.2005461102465,56.85481296976381
2019-03-06,7565.0,7599.0,7285.0,7565.0,4841.49072265625,34411,1,111.4896609060952,-13.36870816332106,124.85836906941626,66.24480974995689
