Date,Open,High,Low,Close,Adj Close,Volume
2017-06-22,23275.107421875,23801.51171875,23052.205078125,23062.279296875,18217.470703125,53015
2017-06-23,23062.279296875,23662.984375,23062.279296875,23416.154296875,18497.00390625,100563
2017-06-27,23611.98046875,23612.611328125,22825.5234375,23284.552734375,18393.046875,41204
2017-06-28,23282.03515625,23707.69140625,23236.068359375,23415.5234375,18496.50390625,38420
2017-06-29,23414.89453125,23612.611328125,23203.326171875,23350.66796875,18445.275390625,54168
2017-06-30,23350.66796875,23732.248046875,23209.623046875,23359.484375,18452.240234375,56780
2017-07-03,23341.853515625,23612.611328125,23178.138671875,23572.94140625,18620.853515625,39663
2017-07-04,23572.94140625,23927.4453125,23298.40625,23922.408203125,18896.90625,21212
2017-07-05,23335.556640625,23927.4453125,23335.556640625,23821.03125,18816.826171875,555046
2017-07-06,23304.072265625,23889.666015625,23304.072265625,23781.9921875,18785.9921875,56825
2017-07-07,23832.99609375,23895.33203125,23552.79296875,23734.13671875,18748.185546875,55859
2017-07-10,23738.544921875,24038.896484375,23530.75390625,23749.87890625,18760.62109375,79443
2017-07-11,23525.0859375,23927.4453125,23525.0859375,23724.69140625,18740.7265625,115482
2017-07-12,23729.099609375,24242.28125,23729.099609375,24149.08984375,19075.966796875,68234
2017-07-13,24149.08984375,24871.951171875,24149.08984375,24690.60546875,19503.724609375,121354
2017-07-14,24683.048828125,24764.27734375,23812.216796875,24628.267578125,19454.484375,43640
2017-07-17,24557.115234375,24557.115234375,23864.478515625,24435.58984375,19302.28125,67484
2017-07-18,24435.58984375,25155.30078125,24305.248046875,24749.794921875,19550.482421875,46298
2017-07-19,24557.115234375,24922.32421875,24025.673828125,24513.66796875,19363.95703125,60206
2017-07-20,24655.34375,24683.6796875,24121.384765625,24645.8984375,19468.41015625,48528
2017-07-21,24645.8984375,24714.533203125,24025.673828125,24360.658203125,19243.091796875,54360
2017-07-24,24550.818359375,24934.91796875,24314.693359375,24737.201171875,19540.529296875,41178
2017-07-25,24808.353515625,24834.169921875,24785.685546875,24813.390625,19600.716796875,131934
2017-07-26,24808.982421875,25055.814453125,24802.056640625,24986.55078125,19737.498046875,56177
2017-07-27,24985.291015625,25426.05859375,24985.291015625,25296.34765625,19982.212890625,56615
2017-07-28,25274.30859375,25444.94921875,25249.751953125,25285.013671875,19973.26171875,37290
2017-07-31,25306.421875,25312.71875,24563.412109375,24902.8046875,19671.345703125,164186
2017-08-01,24902.8046875,25172.931640625,24557.115234375,24948.140625,19707.16015625,92745
2017-08-02,25186.78515625,25363.72265625,25011.736328125,25130.115234375,19850.90625,67122
2017-08-03,25130.115234375,25431.7265625,24607.48828125,25315.8671875,19997.634765625,57088
2017-08-04,25315.8671875,25501.619140625,24809.61328125,25383.87109375,20051.353515625,48349
2017-08-07,25186.78515625,26313.89453125,25186.78515625,26117.4375,20630.81640625,388160
2017-08-08,26117.4375,26116.806640625,25595.44140625,25920.349609375,20475.130859375,240524
2017-08-09,25550.734375,25878.791015625,25186.78515625,25506.02734375,20147.845703125,21166
2017-08-10,25722.00390625,25816.455078125,25437.39453125,25694.927734375,20297.064453125,48847
2017-08-11,25816.455078125,26238.333984375,25317.755859375,25737.74609375,20330.88671875,47437
2017-08-14,25194.970703125,26124.9921875,25194.970703125,25404.021484375,20067.271484375,431191
2017-08-16,25802.6015625,25501.619140625,25249.751953125,25291.939453125,19978.736328125,87820
2017-08-17,25200.0078125,25375.056640625,24941.84375,25200.0078125,19906.115234375,82627
2017-08-18,25359.943359375,25438.0234375,25093.59375,25249.751953125,19945.40625,178884
2017-08-21,25252.900390625,25313.978515625,25125.078125,25215.75,19918.548828125,29056
2017-08-22,25215.75,25689.26171875,25163.486328125,25199.37890625,19905.6171875,57357
2017-08-23,25186.78515625,25564.5859375,25180.48828125,25251.01171875,19946.40625,189043
2017-08-24,25186.78515625,25558.291015625,25185.525390625,25273.048828125,19963.8125,72646
2017-08-25,25273.048828125,26319.560546875,25273.048828125,25911.53515625,20468.169921875,72579
2017-08-28,25281.236328125,26345.376953125,25274.939453125,25813.306640625,20390.576171875,301955
2017-08-29,25847.9375,25942.388671875,25502.25,25668.482421875,20276.171875,152856
2017-08-30,26130.66015625,26130.66015625,25633.849609375,25684.224609375,20288.611328125,79492
2017-08-31,25627.5546875,25814.56640625,25444.94921875,25661.556640625,20270.705078125,56659
2017-09-01,25743.412109375,25910.904296875,25564.5859375,25879.421875,20442.80078125,39241
2017-09-04,25942.388671875,26005.35546875,25604.255859375,25604.255859375,20225.439453125,51409
2017-09-05,25501.619140625,25941.759765625,25451.24609375,25815.1953125,20392.068359375,86858
2017-09-06,25533.732421875,25940.5,25038.18359375,25189.93359375,19898.158203125,104140
2017-09-07,25816.455078125,25816.455078125,25092.333984375,25437.39453125,20093.6328125,74483
2017-09-08,26131.2890625,26131.2890625,25060.8515625,25193.7109375,19901.142578125,50151
2017-09-11,25186.78515625,25315.8671875,24752.3125,25098.001953125,19825.53515625,81533
2017-09-12,25098.001953125,25155.30078125,24997.884765625,25060.8515625,19796.193359375,61394
2017-09-13,25060.8515625,25124.447265625,24809.61328125,24812.76171875,19600.21875,68118
2017-09-14,24859.357421875,25123.818359375,24872.580078125,25025.58984375,19768.3359375,78417
2017-09-15,24557.115234375,25060.8515625,24557.115234375,24803.9453125,19593.255859375,4392436
2017-09-20,24966.400390625,25186.78515625,24683.048828125,25186.78515625,19895.669921875,153278
2017-09-21,25167.265625,25312.71875,25130.115234375,25281.236328125,19970.279296875,113418
2017-09-22,25279.9765625,25279.9765625,25179.228515625,25180.48828125,19890.6953125,104100
2017-09-25,25186.78515625,25375.685546875,25186.78515625,25375.685546875,20044.884765625,114229
2017-09-26,25285.642578125,25347.98046875,25188.044921875,25343.572265625,20019.51953125,99726
2017-09-27,25375.685546875,25627.5546875,25312.71875,25502.87890625,20145.359375,193171
2017-09-28,25620.626953125,25681.076171875,25312.71875,25451.875,20105.0703125,254398
2017-09-29,25627.5546875,25677.927734375,25407.169921875,25677.927734375,20283.63671875,261257
2017-10-02,25568.994140625,25690.521484375,25568.994140625,25658.408203125,20268.21875,124681
2017-10-03,25635.109375,25910.904296875,25577.1796875,25690.521484375,20293.58203125,130130
2017-10-04,25722.00390625,25942.388671875,25659.037109375,25879.421875,20442.80078125,139560
2017-10-05,25879.421875,25880.05078125,25609.29296875,25742.783203125,20334.865234375,48474
2017-10-06,25749.080078125,26131.2890625,25749.080078125,25914.052734375,20470.15625,114264
2017-10-10,26118.6953125,26131.2890625,25816.455078125,25879.421875,20442.80078125,64624
2017-10-11,26351.673828125,26414.640625,25942.388671875,26300.669921875,20775.556640625,114112
2017-10-12,26446.125,26509.720703125,25910.904296875,25910.904296875,20467.66796875,108380
2017-10-13,26070.2109375,26446.125,26070.2109375,26446.125,20890.453125,58719
2017-10-16,26436.6796875,26446.75390625,26380.638671875,26406.455078125,20859.1171875,137910
2017-10-17,26411.4921875,26666.5078125,26407.71484375,26601.0234375,21012.8125,282862
2017-10-18,26597.244140625,26903.263671875,26508.4609375,26587.169921875,21001.869140625,66301
2017-10-19,26760.330078125,26762.21875,26452.421875,26468.79296875,20908.359375,34508
2017-10-20,26469.421875,26689.806640625,26468.79296875,26599.134765625,21011.322265625,88825
2017-10-23,26565.76171875,26729.4765625,26470.05078125,26513.498046875,20943.671875,41050
2017-10-24,26515.388671875,26697.9921875,26452.421875,26475.71875,20913.830078125,74915
2017-10-25,26477.607421875,26760.330078125,26453.6796875,26473.19921875,20911.83984375,253185
