,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,Unnamed: 0,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo,Tendencia Sentimiento
58,2015-03-25,16463.04296875,16499.076171875,16039.9609375,16275.330078125,12057.029296875,95255,-1,815,-0.2057243584153744,0.2818583250045776,-0.7956058774143457,0
59,2015-03-26,16272.427734375,16863.330078125,15907.45703125,16058.55859375,11896.443359375,17983,-1,816,-0.3722486111690246,0.176946222782135,-0.9504663380794228,0
60,2015-03-27,16058.55859375,16157.353515625,15691.26953125,15855.734375,11746.1865234375,32314,-1,817,-0.375158128910698,0.2677786648273468,-0.9398598871193826,0
61,2015-03-30,15855.734375,16272.427734375,15853.994140625,16060.3046875,11897.7353515625,53407,1,820,-0.2956503584282473,0.2048066779971122,-0.9257670883089304,0
62,2015-03-31,16060.3046875,16272.427734375,15980.685546875,16223.0302734375,12018.28515625,71832,1,821,-0.2698575488602122,0.5140239931643009,-0.876323708333075,0
63,2015-04-01,16223.0302734375,16737.349609375,16221.283203125,16660.0546875,12342.0380859375,38149,1,822,-0.2871544910594821,0.0353643894195556,-0.9386380640789866,0
64,2015-04-02,16660.0546875,16853.001953125,16563.0078125,16746.0703125,12405.7607421875,10483,1,823,-0.1057922983542084,0.2942120730876922,-0.5387481655925512,0
65,2015-04-06,16679.23828125,17284.9140625,16561.84375,16594.390625,12293.39453125,6532,-1,827,-0.2735718421476042,0.4991047717630863,-0.8560407441109419,0
66,2015-04-07,16594.390625,16789.65625,16010.9072265625,16655.412109375,12338.599609375,26870,0,828,-0.3001584136749015,0.1080725267529487,-0.838033527135849,0
67,2015-04-08,16655.412109375,16679.23828125,16391.560546875,16535.109375,12249.4765625,38860,-1,829,-0.1927453694291986,0.3425664901733398,-0.7833071863278747,0
68,2015-04-09,16535.109375,16798.376953125,16272.427734375,16700.16015625,12371.748046875,37450,1,830,-0.1301995298514763,0.25650355219841,-0.5117694810032845,0
69,2015-04-10,16700.16015625,16940.7578125,16452.58203125,16725.732421875,12390.6953125,12803,0,831,-0.1323777558902899,0.2060835286974907,-0.4865109100937843,0
70,2015-04-13,16725.732421875,16795.46875,16563.5859375,16702.484375,12373.47265625,26710,0,834,-0.162761930619245,0.366412241011858,-0.7866540234535933,0
71,2015-04-14,16702.484375,16911.69921875,16563.0078125,16826.267578125,12465.1708984375,47286,1,835,-0.1772259886066119,0.4051732495427131,-0.4811136610805988,0
72,2015-04-15,16826.267578125,17144.744140625,16568.818359375,17071.521484375,12646.859375,23167,1,836,-0.4205592549405992,0.2840618267655372,-0.8771187588572502,0
73,2015-04-16,17068.033203125,17667.205078125,16794.890625,17574.22265625,13019.2705078125,19450,1,837,-0.2093278315733187,0.2941402941942215,-0.8959988076239824,0
74,2015-04-17,17487.044921875,18122.05859375,16979.115234375,17137.76953125,12695.9365234375,6078,-1,838,-0.2639615026939856,0.2125897705554962,-0.8804016830399632,0
75,2015-04-20,17137.76953125,17144.166015625,16563.0078125,16771.05859375,12424.2734375,179875,-1,841,-0.2379674901797746,0.2132966145873069,-0.8202598346397281,0
76,2015-04-21,17380.072265625,17465.591796875,16801.279296875,16843.703125,12478.0888671875,14274,0,842,0.0136643835844901,0.3098321110010147,-0.750944783911109,1
77,2015-04-22,17455.353515625,17766.72265625,16853.5859375,16991.90234375,12587.8779296875,20112,1,843,-0.2022072412960586,0.1491493433713913,-0.7821517065167427,0
78,2015-04-23,15895.2548828125,16998.875,15895.2548828125,16759.435546875,12415.6611328125,30626,-1,844,-0.2500864375721324,0.1151988133788108,-0.813447393476963,0
79,2015-04-24,16759.435546875,16998.875,16331.1240234375,16851.83984375,12484.1181640625,17711,1,845,-0.2973674006643705,0.3718749955296516,-0.9341393392533064,0
80,2015-04-27,17463.78515625,18061.83203125,16853.5859375,17402.19921875,12891.8330078125,23029,1,848,-0.2476589173617723,0.2616253942251205,-0.9290291494689882,0
81,2015-04-28,17402.19921875,17463.796875,17143.58203125,17435.322265625,12916.3701171875,29397,0,849,-0.3629508021819804,0.2763468027114868,-0.8475707657635212,0
82,2015-04-29,17435.322265625,17545.1640625,17145.328125,17380.11328125,12875.4697265625,22830,0,850,-0.3003170259458863,0.4245680496096611,-0.8280559601262212,0
83,2015-04-30,17380.11328125,17841.5546875,17376.04296875,17721.830078125,13128.6201171875,48709,1,851,-0.2258125986489984,0.3838410452008247,-0.7007143069058657,0
84,2015-05-04,17721.830078125,17841.5546875,17493.44140625,17768.326171875,13163.064453125,28329,0,855,-0.2079816321531931,0.277476817369461,-0.611826129257679,0
85,2015-05-05,17768.326171875,18137.9453125,17630.59375,18114.11328125,13419.2294921875,21885,1,856,-0.1654271349310875,0.2113811448216438,-0.608090627938509,0
86,2015-05-06,18132.1328125,18132.1328125,17615.484375,17858.990234375,13230.2294921875,29236,-1,857,-0.1206329804845154,0.2154079899191856,-0.6619560979306698,0
87,2015-05-07,17858.990234375,18015.318359375,17638.146484375,17863.638671875,13233.671875,46097,0,858,-0.2460719948013623,0.2448988631367683,-0.91390391997993,0
88,2015-05-08,17863.638671875,18015.896484375,17783.435546875,17813.07421875,13196.212890625,11043,0,859,-0.0582915224134922,0.3959021754562855,-0.4938259646296501,0
89,2015-05-11,17813.07421875,18307.060546875,17813.07421875,18301.826171875,13558.2890625,20705,1,862,-0.1517024770645158,0.4156727567315101,-0.6725249718874693,0
90,2015-05-12,18300.0859375,18964.623046875,18074.599609375,18149.568359375,13445.4951171875,16021,-1,863,-0.1901687220425198,0.3362732157111168,-0.6423140512779355,0
91,2015-05-13,18149.568359375,18219.3046875,18132.1328125,18165.841796875,13457.55078125,18329,0,864,-0.1156535152202615,0.1790326163172722,-0.8326496975496411,0
92,2015-05-14,18165.841796875,18213.494140625,17550.974609375,17775.298828125,13168.2314453125,10535,-1,865,-0.2363093648519781,0.3024653866887092,-0.8411444844678044,0
93,2015-05-15,18420.779296875,18670.115234375,17783.435546875,17783.435546875,13174.2568359375,16290,0,866,-0.3112685669523974,0.1905245631933212,-0.9415414719842374,0
94,2015-05-18,17783.435546875,17841.5546875,17782.857421875,17783.435546875,13174.2568359375,8517,0,869,-0.2329936402595856,0.0927408188581466,-0.9247485985979438,0
95,2015-05-19,17782.857421875,17782.857421875,17434.16015625,17445.19921875,12923.6884765625,17060,-1,870,-0.2298148452304303,0.1604000926017761,-0.8502620533108711,0
96,2015-05-20,17445.19921875,17550.974609375,16969.81640625,17216.2265625,12754.0595703125,125110,-1,871,-0.1194603213419516,0.2725216075778007,-0.613121198490262,0
97,2015-05-22,17216.2265625,17431.8359375,16912.283203125,17272.01953125,12795.392578125,26720,0,873,-0.2327429686672985,0.2383445538580417,-0.8825233192183077,0
98,2015-05-25,17272.01953125,17402.19921875,17144.744140625,17183.1015625,12729.5205078125,15901,-1,876,-0.3207958981705208,0.4011250212788582,-0.8888432420790195,0
99,2015-05-26,17183.1015625,17230.173828125,16853.5859375,16917.509765625,12532.765625,9434,-1,877,-0.2234284155643903,0.5019913390278816,-0.8500137813389301,0
100,2015-05-27,16917.509765625,17289.455078125,16737.93359375,16871.599609375,12498.7548828125,27949,0,878,-0.249708379805088,0.1693929880857467,-0.78232934884727,0
101,2015-05-28,16871.599609375,17306.884765625,16608.91796875,16695.509765625,12368.3037109375,34096,-1,879,-0.2548977654161198,0.1362132579088211,-0.8002504138275981,0
102,2015-05-29,16695.509765625,17144.166015625,16612.982421875,16752.4609375,12410.4951171875,142193,0,880,-0.1071828777901828,0.503062080591917,-0.7974981786683202,0
103,2015-06-01,16752.4609375,16969.81640625,16446.19140625,16581.60546875,12283.923828125,22901,-1,883,-0.3126124762929976,0.3202454522252083,-0.8187549719586968,0
104,2015-06-02,16581.60546875,16679.23828125,16388.658203125,16493.265625,12218.4794921875,30005,-1,884,-0.3305706158280372,0.1114782094955444,-0.7533115558326244,0
105,2015-06-03,16493.265625,17166.828125,16493.265625,16542.662109375,12255.0732421875,60540,0,0,0.0,0.0,0.0,0
106,2015-06-04,16542.662109375,16563.5859375,16271.84375,16283.466796875,12063.0576171875,22050,-1,885,-0.211309777572751,-0.0487794131040573,-0.5138234160840511,0
107,2015-06-05,16283.466796875,16563.0078125,16283.466796875,16433.40625,12174.134765625,30661,1,886,-0.4912819236051291,-0.3457104004919529,-0.7340087397024035,0
108,2015-06-08,16392.72265625,16987.998046875,16214.8935546875,16232.3291015625,12025.173828125,4906,-1,889,-0.3310998560627922,0.2535467818379402,-0.8161758268252015,0
