,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,CCI_14,WILLR_14,TSI_13_25_13,CMO,COPP,ATR_14,RSI_14,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
1884,2022-07-21,20125.681640625,20133.82421875,19874.75,20125.681640625,18195.298828125,8585,0,-58.09559246771549,-69.82309673462743,-11.23932540833609,-10.40784041244367,0.6094043745598785,625.1433293955399,44.79607979377817,-0.1209205853908012,0.4511465430259704,-0.7971138563007116
1885,2022-07-22,20119.01953125,20281.8671875,19949.51171875,20119.01953125,18189.275390625,5025,0,-25.22822286631225,-70.25352475245026,-11.17782211909791,-10.578460614697148,0.964243429797654,604.2299107780013,44.71076969265143,-0.2470420782254742,0.5034258216619492,-0.8818477522581816
1886,2022-07-25,19937.66796875,20118.279296875,19615.673828125,19937.66796875,18025.318359375,12218,-1,-111.27471321979472,-79.75797134013303,-11.762669701841608,-15.306744058525773,0.8096485159225371,597.0238959456441,42.34662797073712,-0.0987465481328613,0.5306904800236225,-0.739065308123827
1887,2022-07-26,19837.73828125,19933.966796875,19691.17578125,19837.73828125,17934.974609375,2946,-1,-132.60888937716646,-86.04000987170467,-12.60461530527878,-17.883364334140325,0.6856113225502632,571.9859167709552,41.05831783292984,-0.2392212174070829,0.2248633578419685,-0.800048709847033
1888,2022-07-27,19836.998046875,19948.771484375,19697.09765625,19836.998046875,17934.306640625,8527,0,-114.27432961646184,-86.0865443999563,-13.312277006990517,-17.903288803023724,-0.0919889724686404,549.1064818676728,41.04835559848814,-0.1731426952561984,0.5195194557309151,-0.696944709867239
1889,2022-07-28,19730.408203125,19984.30078125,19695.6171875,19730.408203125,17837.939453125,11962,-1,-108.97113358264394,-92.78727090339603,-14.307789671010667,-20.88024073751524,-0.9101194451599008,530.5048470021246,39.55987963124238,-0.2527277878796061,0.1879681572318077,-0.7854175213724375
1890,2022-07-29,20124.94140625,20124.94140625,19615.673828125,20124.94140625,18194.630859375,29691,1,-55.402602517862825,-67.98510403966363,-13.152662692544803,-5.614372722652233,-1.1841204874831994,528.9878992251871,47.19281363867388,-0.1389223411989708,0.3625646755099296,-0.7751146135851741
1891,2022-08-01,20200.443359375,20281.8671875,19830.3359375,20200.443359375,18262.890625,27814,0,-5.6966760233582185,-63.23870494039529,-11.811971498107988,-2.9352679523793848,-1.46823167782953,523.4552814233881,48.53236602381031,-0.1524719911937912,0.569475881755352,-0.8375222906470299
1892,2022-08-02,20207.10546875,20246.337890625,19808.87109375,20207.10546875,18268.912109375,22255,0,-8.356235014646286,-62.81989418613074,-10.657045082106931,-2.687740411816568,-1.137458663849625,517.313246812789,48.65612979409172,-0.3813172131776809,0.3330531045794487,-0.9130126391537488
1893,2022-08-03,19800.728515625,20206.365234375,19748.912109375,19800.728515625,17901.513671875,16439,-1,-57.95447587020372,-88.36661350188902,-11.415595328750872,-15.962705413796575,-2.20567837492709,513.0903977100897,42.01864729310172,-0.226309010181576,0.3651602081954479,-0.9192928490228952
1894,2022-08-04,20059.0625,20059.0625,19580.884765625,20059.0625,18135.068359375,9081,1,-55.68972828006528,-70.58290608354831,-10.655930413785857,-6.057898763252295,-2.382541027071743,510.5966360432976,46.97105061837386,-0.2041292146055234,0.3717241808772087,-0.6808313336223364
1895,2022-08-05,20119.01953125,20119.01953125,19765.197265625,20119.01953125,18189.275390625,8413,0,2.014795531623218,-53.00589974023404,-9.713199153047782,-3.8410303578489295,-2.117237454345017,499.39846672770494,48.07948482107554,-0.1959737731958739,0.5142307467758656,-0.8107313299551606
1896,2022-08-08,20229.3125,20272.984375,19893.25390625,20229.3125,18288.990234375,5252,1,93.89895241636668,-15.198367288554673,-8.336679544715945,0.2878962554800418,-1.7585080382600309,490.8507525864403,50.143948127740025,-0.11219172564765,0.3880685940384865,-0.8915244708769023
1897,2022-08-09,19986.521484375,20296.671875,19985.78125,19986.521484375,18069.486328125,12430,-1,71.3996020404648,-43.32997710671437,-8.331770857296913,-8.3511293509771,-1.43886188646839,477.9964577588374,45.824435324511455,-0.2071349417674355,0.170870304107666,-0.8718013605102897
1898,2022-08-10,20007.98828125,20193.041015625,19874.75,20007.98828125,18088.89453125,6323,0,31.534611960658296,-40.3309294019095,-8.207714023331249,-7.469631378399182,-1.048832227387793,466.588926177849,46.26518431080041,-0.2448506332961294,0.4718171954154968,-0.8916512369178236
