,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,Histogram,CCI_14,WILLR_14,ROC_10,TSI_13_25_13,CMO,COPP,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
1174,2019-09-17,8096.0,8278.7998046875,8084.0,8096.0,6313.97509765625,527975,-1,48.14252616203996,-45.8783645024311,-71.17769386338875,-0.0493827160493827,-27.010522376242054,-26.087542296372128,1.6595438220515888,-0.3181337388897581,0.542716309428215,-0.7623113002628088
1175,2019-09-23,8080.0,8148.2001953125,8000.10009765625,8080.0,6301.49755859375,71499,0,41.29359493434404,-140.70501526040238,-80.02002454227437,-1.5834348355663823,-26.988248064267488,-27.02127016032508,1.49588210470592,-0.2187939124802748,0.2852115854620933,-0.6822654642164707
1176,2019-09-24,8030.10009765625,8095.0,8001.2001953125,8030.10009765625,6262.5810546875,19260,-1,33.74635076202787,-157.7539973712745,-92.49812269916178,-3.66731104625791,-27.373889974677382,-29.99168231660761,0.4973538272153399,-0.3381574287044781,0.120028831064701,-0.927384942304343
1177,2019-09-25,8003.0,8030.10009765625,7789.2001953125,8003.0,6241.4453125,20882,0,27.535172086420147,-195.3936653565228,-64.99674638945159,-4.384707287933094,-27.917665646957733,-31.61951012912021,-0.7421916078697849,-0.2334004612478973,0.391578309237957,-0.907278202008456
1178,2019-09-26,8081.0,8100.0,8035.0,8081.0,6302.27685546875,12340,1,29.131498102373826,-78.03391613467649,-52.22660478144851,-1.910569809208544,-27.20789676360577,-22.771135047570628,-1.4440734695574615,-0.306266239196386,0.3167795799672603,-0.8497197544202209
1179,2019-09-27,8170.0,8279.900390625,8081.0,8170.0,6371.68701171875,17623,1,36.17333248006,8.462613697548473,-37.65554576718858,-0.3658536585365853,-25.27898782378988,-13.4031047602889,-1.629691154589665,-0.1105747282771127,0.6476112715899944,-0.8998115519061685
1180,2019-09-30,8145.10009765625,8200.0,8072.0,8145.10009765625,6352.26806640625,150074,0,38.90788938921997,-13.558893825503883,-41.73215190763903,-0.971427384118541,-23.912241394739237,-15.349249551792155,-2.0889405878631897,-0.2300432603612231,0.5956136994063854,-0.9320531864650548
1181,2019-10-01,8128.0,8199.0,8051.10009765625,8128.0,6338.931640625,6428,0,39.20846459833399,-12.668703225001048,-38.47835763064423,-0.8659592633247957,-22.935971149867893,-16.733230690796283,-2.663536255024306,-0.1623467078898102,0.3492102324962616,-0.8649073196575046
1182,2019-10-02,8010.0,8058.2998046875,7980.10009765625,8010.0,6246.90478515625,139695,-1,31.439150513899136,-107.03909072074852,-55.00311457041816,-1.7177914110429449,-23.284264290927904,-25.753943390630344,-3.3158105423062367,-0.2029936749410505,0.3433702625334263,-0.7446728749200702
1183,2019-10-03,7901.0,7989.0,7815.0,7901.0,6161.8974609375,7481,-1,19.52176923334258,-168.31225872557368,-77.21627059547004,-4.288310115081768,-24.64684688327288,-32.977017344739096,-4.134486127024116,-0.3129888871111549,0.1937480643391609,-0.821569699794054
1184,2019-10-04,7980.0,7980.0,7831.10009765625,7980.0,6223.50830078125,18754,1,17.582415351729253,-119.77614097182712,-61.116827237863625,-1.432806324110672,-24.466764517351937,-23.592216377976516,-4.675945907198246,-0.4383784180507064,0.0866834819316864,-0.9140843357890844
1185,2019-10-07,7948.0,7980.0,7926.2998046875,7948.0,6198.5517578125,9172,0,14.874925307459163,-87.33101454000128,-67.63812074980547,-1.6336633663366336,-24.640432114616235,-25.874265859696163,-4.840380575214276,-0.273978357414969,0.2702358961105346,-0.8703399719670415
1186,2019-10-08,7965.0,7970.10009765625,7860.0,7965.0,6211.81005859375,8455,0,14.921076063144454,-87.1909757645495,-64.17368357158637,-0.8107009484881864,-24.49648293342317,-23.759560626157317,-4.693641163598435,-0.2401047883390942,0.5595908686518669,-0.8566882824525237
1187,2019-10-09,7970.0,7997.89990234375,7900.0,7970.0,6215.708984375,74679,0,15.89091611009752,-59.32287951676598,-63.154731460345445,-0.4123453704860677,-24.29033071222033,-23.104483363381917,-4.647396767583256,-0.3186188057623804,0.2735058590769768,-0.908257455099374
